id,nombre,apellidoPaterno,apellidoMaterno,ci,fechaNacimiento,telefono,sexo,direccion,email,email_verified_at,password,type,remember_token,created_at,updated_at
36,NATIVIDAD,CHOQUE,CRESPO,17331896,'2018-05-16',74125930,F,AV. TRES PASOS AL FRENTE 202,NATIVIDADCHOQUECRESPO@gmail.com,,17331896,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
37,CLAUDIO,CLAURE,PEÑA,16922150,'2017-07-08',74125931,M,CALLE ESPAÑA 303,CLAUDIOCLAUREPEÑA@gmail.com,,16922150,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
38,ANDRES,COLQUE,CHAVEZ,15573845,'2018-04-23',74125932,M,AV. MUTUALISTA 404,ANDRESCOLQUECHAVEZ@gmail.com,,15573845,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
39,MAILY,DELGADILLO,MALDONADO,15341039,'2017-07-23',74125933,F,CALLE SUCRE 505,MAILYDELGADILLOMALDONADO@gmail.com,,15341039,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
40,MARTHA,FLORES,SURUVI,15064021,'2017-09-25',74125934,F,AV. ALEMANA 606,MARTHAFLORESSURUVI@gmail.com,,15064021,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
41,ANTHONY,FRANCO,FLORES,15146713,'2018-01-06',74125935,M,CALLE INDEPENDENCIA 707,ANTHONYFRANCOFLORES@gmail.com,,15146713,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
42,IAN,GALEAN,MENDOZA,15098017,'2017-10-23',74125936,M,AV. CENTENARIO 808,IANGALEANMENDOZA@gmail.com,,15098017,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
43,RONALD,GUZMAN,TORREZ,16949842,'2017-07-21',74125937,M,CALLE 24 DE SEPTIEMBRE 909,RONALDGUZMANTORREZ@gmail.com,,16949842,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
44,GAEL,HENRIQUEZ,BAURA,15542030,'2018-03-01',74125938,M,AV. CRISTO REDENTOR 111,GAELHENRIQUEZBAURA@gmail.com,,15542030,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
45,ANDREW,HUARI,DALENCE,15115771,'2017-11-28',74125939,M,CALLE LIBERTAD 222,ANDREWHUARIDALENCE@gmail.com,,15115771,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
46,BENJAMIN,IBAÑEZ,PADILLA,15209689,'2017-08-02',74125940,M,AV. SANTOS DUMONT 333,BENJAMINIBAÑEZPADILLA@gmail.com,,15209689,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
47,ANDREA,JATTACO,OVANDO,15801241,'2018-06-01',74125941,F,CALLE BOLÍVAR 444,ANDREAJATTACOOVANDO@gmail.com,,15801241,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
48,IAN,LOZA,HERRERA,15268595,'2017-12-06',74125942,M,AV. ROCA Y CORONADO 555,IANLOZAHERRERA@gmail.com,,15268595,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
49,JULIAN,MARCOS,PARDO,17356856,'2017-10-31',74125943,M,CALLE COCHABAMBA 666,JULIANMARCOSPARDO@gmail.com,,17356856,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
50,MARILEN,MENESES,CALA,16033057,'2017-09-28',74125944,F,AV. SAN MARTÍN 777,MARILENMENESESCALA@gmail.com,,16033057,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
51,HELEN,MIRANDA,ABREGO,15278072,'2018-05-21',74125945,F,CALLE POTOSÍ 888,HELENMIRANDAABREGO@gmail.com,,15278072,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
52,MARIA,MONTERO,PEÑA,16417053,'2017-08-15',74125946,F,AV. IRALA 999,MARIAMONTEROPEÑA@gmail.com,,16417053,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
53,LIAM,MUÑOZ,ARISPE,16877928,'2017-08-18',74125947,M,CALLE CAMACHO 121,LIAMMUÑOZARISPE@gmail.com,,16877928,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
54,AARON,PACHURI,VICENTE,16877929,'2017-11-27',74125948,M,AV. PARAGUÁ 232,AARONPACHURIVICENTE@gmail.com,,16877929,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
55,GENESIS,PANIAGUA,ARIAS,15417962,'2017-08-01',74125949,F,CALLE COLÓN 343,GENESISPANIAGUAARIAS@gmail.com,,15417962,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
56,NASHELY,PARABA,QUEVEDO,15286131,'2018-05-30',74125950,F,AV. MOSCÚ 454,NASHELYPARABAQUEVEDO@gmail.com,,15286131,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
57,MARYAM,PEREZ,NINA,15309227,'2018-03-12',74125951,F,CALLE WARNES 565,MARYAMPEREZNINA@gmail.com,,15309227,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
58,ANTONELA,SIBRON,CUELLAR,15259541,'2018-05-02',74125952,F,AV. LA SALLE 676,ANTONELASIBRONCUELLAR@gmail.com,,15259541,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
59,MATHIAS,SOSA,BARRIGA,16299563,'2017-12-20',74125953,M,CALLE JUNÍN 787,MATHIASSOSABARRIGA@gmail.com,,16299563,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
60,ARIANA,VARGAS,ROJAS,16788462,'2017-07-26',74125954,F,AV. GRIGOTÁ 898,ARIANAVARGASROJAS@gmail.com,,16788462,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
61,SHEYLA,VILTE,CORDOVA,15521652,'2017-05-05',74125955,F,CALLE MERCADO 909,SHEYLAVILTECORDOVA@gmail.com,,15521652,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
62,RAPHAELA,ALBA,TAMBO,15202998,'2017-12-05',74125956,F,AV. CAÑOTO 101,RAPHAELAALBATAMBO@gmail.com,,15202998,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
63,SEBASTIAN,ARTEAGA,BARRIGA,17076157,'2016-11-13',74125957,M,CALLE ÑUFLO DE CHÁVEZ 202,SEBASTIANARTEAGABARRIGA@gmail.com,,17076157,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
64,MOISES,BLANCO,MAMANI,17328209,'2018-02-04',74125958,M,AV. 12 DE JULIO 111,MOISESBLANCOMAMANI@gmail.com,,17328209,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
65,ANDREW,CACERES,CACERES,16778495,'2017-09-19',74125959,M,AV. SEXTO ANILLO 666,ANDREWCACERESCACERES@gmail.com,,16778495,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
66,LUCIANA,CASTEDO,VILLARROEL,16616857,'2018-02-23',74125960,F,AV. VIRGEN DE COTOCA 505,LUCIANACASTEDOVILLARROEL@gmail.com,,16616857,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
67,SHEYLA,COLQUE,ROJAS,17131389,'2017-07-23',74125961,F,CALLE BALLIVIÁN 606,SHEYLACOLQUEROJAS@gmail.com,,17131389,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
68,ELEAZAR,CORI,MONTAÑO,15242633,'2017-12-08',74125962,M,AV. SEGUNDA ANILLO 707,ELEAZARCORIMONTAÑO@gmail.com,,15242633,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
69,ARIEL,DURAN,ANTELO,16949113,'2018-03-04',74125963,M,CALLE GUARAYOS 808,ARIELDURANANTELO@gmail.com,,16949113,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
70,YUAN,ESPINOZA,PALACIOS,15308962,'2018-06-22',74125964,M,AV. TERCER ANILLO 909,YUANESPINOZAPALACIOS@gmail.com,,15308962,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
71,KIARA,FLORES,PADILLA,15308963,'2018-05-20',74125965,F,CALLE MAN CÉSPED 111,KIARAFLORESPADILLA@gmail.com,,15308963,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
72,ELIAS,FLORES,PARADA,15005325,'2017-04-21',74125966,M,AV. CUARTO ANILLO 222,ELIASFLORESPARADA@gmail.com,,15005325,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
73,GAEL,FLORES,LEON,15271157,'2018-05-14',74125967,M,CALLE PARI 333,GAELFLORESLEON@gmail.com,,15271157,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
74,JOSE,IBAÑEZ,SALCES,16901823,'2016-04-10',74125968,M,AV. QUINTO ANILLO 444,JOSEIBAÑEZSALCES@gmail.com,,16901823,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
75,TIFFANY,IBAÑEZ,SALCES,16901830,'2013-12-18',74125969,F,CALLE LEMOINE 555,TIFFANYIBAÑEZSALCES@gmail.com,,16901830,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
76,MARLID,JUSTINIANO,JUSTINIANO,17186075,'2018-06-05',74125970,F,AV. SEXTO ANILLO 666,MARLIDJUSTINIANOJUSTINIANO@gmail.com,,17186075,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
77,CARLOS,JUSTINIANO,JUSTINIANO,17047901,'2017-01-15',74125971,M,CALLE AROMA 777,CARLOSJUSTINIANOJUSTINIANO@gmail.com,,17047901,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
78,LOANA,JUSTINIANO,GARCIA,16990399,'2017-06-30',74125972,F,AV. SÉPTIMO ANILLO 888,LOANAJUSTINIANOGARCIA@gmail.com,,16990399,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
79,EMILY,MOSTAJO,MONTAÑO,15295748,'2018-06-09',74125973,F,CALLE BENI 999,EMILYMOSTAJOMONTAÑO@gmail.com,,15295748,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
80,LIAM,ORTIZ,TAPIA,15203876,'2018-03-11',74125974,M,AV. OCTAVO ANILLO 121,LIAMORTIZTAPIA@gmail.com,,15203876,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
81,SUSANA,QUISPE,GUZMAN,17352609,'2016-01-04',74125975,F,CALLE SUÁREZ ARANA 232,SUSANAQUISPEGUZMAN@gmail.com,,17352609,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
82,ZOE,RIVERO,IBARRA,17055778,'2018-06-06',74125976,M,AV. NOVENO ANILLO 343,ZOERIVEROIBARRA@gmail.com,,17055778,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
83,SAMARA,RODRIGUEZ,BUSTAMANTE,16238587,'2018-04-28',74125977,F,CALLE LIBERTAD 454,SAMARARODRIGUEZBUSTAMANTE@gmail.com,,16238587,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
84,MIGUEL,ROMERO,VACA,15146998,'2018-01-04',74125978,M,AV. DÉCIMO ANILLO 565,MIGUELROMEROVACA@gmail.com,,15146998,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
85,DULCE,SALVATIERRA,VILLCA,16270964,'2018-04-10',74125979,F,CALLE ANICETO ARCE 676,DULCESALVATIERRAVILLCA@gmail.com,,16270964,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
86,FERNANDA,SALVATIERRA,GUTIERREZ,16213237,'2017-11-29',74125980,F,AV. PRIMAVERA 787,FERNANDASALVATIERRAGUTIERREZ@gmail.com,,16213237,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
87,JHOSMAR,SANCHEZ,CUELLAR,14610346,'2017-11-08',74125981,M,CALLE PADRE PÉREZ 898,JHOSMARSANCHEZCUELLAR@gmail.com,,14610346,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
88,LUIS,SAUSA,ALBORNOZ,16806107,'2018-06-28',74125982,M,AV. VALLEGRANDE 909,LUISSAUSAALBORNOZ@gmail.com,,16806107,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
89,FRANCISCO,SUAREZ,ORTIZ,16004588,'2018-01-04',74125983,M,CALLE SUCRE 101,FRANCISCOSUAREZORTIZ@gmail.com,,16004588,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
90,JHEREMY,SURUBI,VEDIA,16004589,'2016-10-01',74125984,M,AV. 26 DE FEBRERO 202,JHEREMYSURUBIVEDIA@gmail.com,,16004589,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
91,GIOVANNY,SURUBI,VEDIA,16004590,'2013-10-10',74125985,M,CALLE LOS TAJIBOS 303,GIOVANNYSURUBIVEDIA@gmail.com,,16004590,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
92,BRITANNY,VALLEJOS,ROMERO,16004591,'2016-03-01',74125986,F,AV. 15 DE ABRIL 404,BRITANNYVALLEJOSROMERO@gmail.com,,16004591,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
93,NATALY,VILALO,CHOQUE,15549957,'2018-03-25',74125987,F,CALLE ÑUFLO DE CHÁVEZ 505,NATALYVILALOCHOQUE@gmail.com,,15549957,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
94,DULCE,VIVANCO,RAMIREZ,17088792,'2017-04-02',74125988,F,AV. 27 DE MAYO 606,DULCEVIVANCORAMIREZ@gmail.com,,17088792,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
95,LUANA,ACHA,AMADOR,15356960,'2017-01-16',74125989,F,CALLE BALLIVIÁN 707,LUANAACHAAMADOR@gmail.com,,15356960,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
96,ANDREA,ARTEAGA,BARRIGA,17076135,'2015-11-30',74125990,F,CALLE ÑUFLO DE CHÁVEZ 202,ANDREAARTEAGABARRIGA@gmail.com,,17076135,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
97,JOSE,BARBA,FLORES,17065108,'2017-01-17',74125991,M,CALLE AROMA 909,JOSEBARBAFLORES@gmail.com,,17065108,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
98,MELIZA,BLANCO,MAMANI,17053417,'2017-03-08',74125992,F,AV. 12 DE JULIO 111,MELIZABLANCOMAMANI@gmail.com,,17053417,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
99,LEANDRO,CABRAL,MATERE,17116321,'2016-11-29',74125993,M,CALLE LEMOINE 222,LEANDROCABRALMATERE@gmail.com,,17116321,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
100,LUANG,CASTRO,CALAMANI,16417730,'2016-04-25',74125994,M,AV. 25 DE MAYO 333,LUANGCASTROCALAMANI@gmail.com,,16417730,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
101,SOFIA,DORADO,PUTARE,15716593,'2016-11-20',74125995,F,CALLE ANICETO ARCE 444,SOFIADORADOPUTARE@gmail.com,,15716593,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
102,YHUBIN,DURAN,FLORES,16619425,'2017-06-06',74125996,M,AV. 24 DE SEPTIEMBRE 555,YHUBINDURANFLORES@gmail.com,,16619425,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
103,ARLETT,ECTCHEVERY,FLORES,14991308,'2017-03-08',74125997,M,CALLE LIBERTAD 666,ARLETTECTCHEVERYFLORES@gmail.com,,14991308,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
104,DYLAN,ESCALANTE,GUTIERREZ,16613077,'2016-10-23',74125998,M,AV. 10 DE NOVIEMBRE 777,DYLANESCALANTEGUTIERREZ@gmail.com,,16613077,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
105,FABRICIO,FERNANDEZ,SOLIZ,17339143,'2017-01-16',74125999,M,CALLE MERCADO 888,FABRICIOFERNANDEZSOLIZ@gmail.com,,17339143,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
106,BRYANA,FLORES,RODRIGUEZ,16995341,'2017-04-07',74126000,F,AV. 23 DE MARZO 999,BRYANAFLORESRODRIGUEZ@gmail.com,,16995341,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
107,NICOL,GIL,CHOQUE,15013838,'2017-04-30',74126001,F,CALLE GUARAYOS 121,NICOLGILCHOQUE@gmail.com,,15013838,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
108,DANIELA,GUASASE,VELASCO,17075502,'2017-02-04',74126002,F,AV. INDEPENDENCIA 232,DANIELAGUASASEVELASCO@gmail.com,,17075502,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
109,KENDRA,JUSTINIANO,JUSTINIANO,17186079,'2016-07-12',74126003,F,CALLE BENI 343,KENDRAJUSTINIANOJUSTINIANO@gmail.com,,17186079,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
110,ARIANE,MALLEA,ISITA,16113079,'2016-07-22',74126004,F,AV. LA SALLE 454,ARIANEMALLEAISITA@gmail.com,,16113079,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
111,TANIA,MAMANI,DURAN,17133669,'2016-09-09',74126005,F,CALLE JUNÍN 565,TANIAMAMANIDURAN@gmail.com,,17133669,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
112,YESENIA,MOLINA,COLQUE,15916533,'2017-05-28',74126006,F,AV. IRALA 676,YESENIAMOLINACOLQUE@gmail.com,,15916533,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
113,GARY,MONTERO,REA,17049942,'2017-02-16',74126007,M,CALLE POTOSÍ 787,GARYMONTEROREA@gmail.com,,17049942,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
114,MATIAS,NARVAEZ,SENSANO,16718779,'2017-06-21',74126008,M,AV. ROCA Y CORONADO 898,MATIASNARVAEZSENSANO@gmail.com,,16718779,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
115,ANDERSON,PAZ,SOSSA,16606342,'2016-09-27',74126009,M,CALLE COCHABAMBA 909,ANDERSONPAZSOSSA@gmail.com,,16606342,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
116,GAEL,PEÑA,MELGAR,15528803,'2016-11-20',74126010,M,AV. CENTENARIO 101,GAELPEÑAMELGAR@gmail.com,,15528803,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
117,THAIS,PEREIRA,ROJAS,15623766,'2016-03-19',74126011,F,CALLE SUCRE 202,THAISPEREIRAROJAS@gmail.com,,15623766,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
118,EDEN,QUINTANA,MOZA,14990708,'2017-06-25',74126012,M,AV. SANTOS DUMONT 303,EDENQUINTANAMOZA@gmail.com,,14990708,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
119,CARLOS,RIVERA,CUETO,16537813,'2015-07-11',74126013,M,CALLE ESPAÑA 404,CARLOSRIVERACUETO@gmail.com,,16537813,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
120,YODARLYS,ROJAS,MARIN,16537814,'2014-09-30',74126014,F,AV. CRISTO REDENTOR 505,YODARLYSROJASMARIN@gmail.com,,16537814,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
121,VALERIA,ROJAS,VEZGA,16537815,'2016-04-11',74126015,F,CALLE FLORIDA 606,VALERIAROJASVEZGA@gmail.com,,16537815,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
122,EDINSON,SANTOS,RENGEL,14991997,'2016-09-26',74126016,M,AV. SAN MARTÍN 707,EDINSONSANTOSRENGEL@gmail.com,,14991997,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
123,VICTORIA,SENSANO,NUÑEZ,14991998,'2015-09-10',74126017,F,CALLE BOLÍVAR 808,VICTORIASENSANONUÑEZ@gmail.com,,14991998,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
