id,nombre,apellidoPaterno,apellidoMaterno,ci,fechaNacimiento,telefono,sexo,direccion,email,email_verified_at,password,type,remember_token,created_at,updated_at
11,GIPSSY,GARCIA,CHAVEZ,8093822,'1992-08-11',74125909,F,AV. IRALA N° 63,GIPSSYGARCIACHAVEZ@gmail.com,,$2y$10$/MS.zb5T0vqqCJDyEMTE.emSd.36PZIN7nnzuqQJ90JEAYMbpi0A6,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
12,EDWIN,EID,GONZALES,8093819,'1992-08-08',74125906,M,AV. IRALA N° 60,EDWINEIDGONZALES@gmail.com,,$2y$10$SGGj8B3fAhGHT17qTfTxeOTTJMigass4tX01B5TS/AWpbtpEztgja,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
13,NOEMI,ARIAS,LOPEZ,8093815,'1999-08-04',74125902,F,AV. IRALA N° 56,NOEMIARIASLOPEZ@gmail.com,,$2y$10$j9Jab0gTHGMX0BNSesLOoexisQVOoSr10k4mme6Qjgsljroo0zEZ.,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
14,RUBEN,ALEMAN,JUSTINIANO,8093818,'1991-08-07',74125905,M,AV. IRALA N° 59,RUBENALEMANJUSTINIANO@gmail.com,,$2y$10$MxPns6LokzUxjoVGNplIhOphdYnWuIKvwRdupZ4vNjMHTJfcaiRbS,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
15,CARLA,HINOJOSA,ROMERO,8093813,'1993-08-02',74125900,F,AV. IRALA N° 54,CARLAHINOJOSAROMERO@gmail.com,,$2y$10$fflePzirHg.aFUa0vftQb.RtzKfpYw/K1KNqwmSpzTk6jRuYMcmoW,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
16,LORENA,MENDES,RIVERA,8093823,'1994-08-12',74125910,F,AV. IRALA N° 64,LORENAMENDESRIVERA@gmail.com,,$2y$10$TCRiXcVLmgVmxKxh/tGzqeWuOoJB24M1eP2zXI6gQoa6BQnTS4YHy,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
17,CAROLINA,BURGOS,RAMOS,8093824,'1993-02-08',74125911,F,AV. CENTENARIO N°85 3ER ANILLO,CAROLINABURGOSRAMOS@gmail.com,,$2y$10$55L2SS6wkZaegXcswhInueMLVSM7FoRXHkaqFzbpHBiIIWMizaczy,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
18,CAROLA,CENZANO,MORENO,8093825,'1990-06-08',74125912,F,CALLE 24 SEPT. N°58,CAROLACENZANOMORENO@gmail.com,,$2y$10$1Xa16WXUeQE1ofeRgkPHPuHRHrfcnvVnCDmOPP5CrBW1S0dCo9RaG,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
19,ROSARIO,MENDOZA,SILES,8093826,'1995-07-02',74125913,F,BARRIO LINDO N°10,ROSARIOMENDOZASILES@gmail.com,,$2y$10$0ma3qP.BvEwAVQ107vJmDeGev6HwXDkm3M.d1i08eTIbaq9BpQCd6,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
20,ANA ROSSYO,VARGAS,BERNAL,8093827,'1996-09-07',74125914,F,BARRIO LINDO N°11,ANAROSSYOVARGASBERNAL@gmail.com,,$2y$10$JLYJqjIkCKvmq811htx3a.B3owks48Lv5.l7aSmDF8pFiJ8hIDPEG,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
21,SAMUEL,PANIAGUA,CHORE,8093828,'1999-05-03',74125915,M,AV. CENTENARIO N°78 3ER ANILLO,SAMUELPANIAGUACHORE@gmail.com,,$2y$10$1eSxuyuvSgzHgtRQasC89.Nfy8r46/m/SRWCTbulX8bGLliVIU0QO,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
22,CECILIO,GALVIS,CHOVA,8093829,'1990-02-08',74125916,M,AV. CENTENARIO N°79 3ER ANILLO,CECILIOGALVISCHOVA@gmail.com,,$2y$10$YmNMmYvjxoOSV0Sy1OZkv.L8FQ7qM38shDdXr/yn2bQJMgQVxIaM.,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
23,ERICK,TERRAZAS,PERALTA,8093830,'1997-02-04',74125917,M,CALLE 24 SEPT. N°78,ERICKTERRAZASPERALTA@gmail.com,,$2y$10$hAJm8sSQnRuH7vX97PINa.FALaxHyqeVLQaKK8Rcrs2f0EMJBIK7e,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
24,VALENTIN,RIOS,PERES,8093831,'1996-06-08',74125918,M,BARRIO LINDO N°45,VALENTINRIOSPERES@gmail.com,,$2y$10$eI4KdOTqGCmeCliQKzFeIeJYGGhkxh6xMrtVFAyTdTnqwB5UJLaba,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
25,MARIA,LOPEZ,LAFARGE,8093832,'1990-12-09',74125919,F,AV. CENTENARIO N°23 3ER ANILLO,MARIALOPEZLAFARGE@gmail.com,,$2y$10$cNqo9JrI.n0uM9N/tzmRH.cvviqB5O2yJlvTcqAJieGEJxaStwBvq,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
26,JOEL,MENDES,TORRICO,8093833,'1992-08-07',74125920,M,BARRIO LINDO N°86,JOELMENDESTORRICO@gmail.com,,$2y$10$/yAiDnro57q0eL9NfZ6VNeErr.ZGYMtDsvOAjVjIn5YkH/WfcZbGm,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
27,ALEJANDRA,CHINO,MAYTA,8093834,'1999-05-01',74125921,F,CALLE 24 SEPT. N°77,ALEJANDRACHINOMAYTA@gmail.com,,$2y$10$juiX0YHu5nX0vtmMbBUB2.ERzkiEnW/Zq7U6I7t2/nNyfi4b5F2kO,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
28,VIVIANA,VIVEROS,MENCARI,8093835,'1998-03-02',74125922,F,CALLE 24 SEPT. N°78,VIVIANAVIVEROSMENCARI@gmail.com,,$2y$10$n4gTGnmAUX9vpG8nGFxKAOw8/t8GwTgqpJqx/6p7M/IPu4vPJmwO6,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
29,MARIANO,SALVATIERRA,LOPEZ,8093836,'1997-07-06',74125923,M,AV. CENTENARIO N°50 3ER ANILLO,MARIANOSALVATIERRALOPEZ@gmail.com,,$2y$10$2Nitz.JXFvVFuWispJoZAewCZGfKYLi7RYMqIM80fH5Nlx6D9u8Bm,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
30,AGUSTIN,GARCIA,CHORE,8093837,'1998-07-06',74125924,M,BARRIO LINDO N°71,AGUSTINGARCIACHORE@gmail.com,,$2y$10$OTcUi3dvVX6AX7H6.DL6eu.01XqnTMX9S.cgtia3CUAddfFTd.Ezi,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
31,MISAEL,ARENAS,CHOQUE,16414980,'2018-05-20',74125925,M,BARRIO LINDO N°72,MISAELARENASCHOQUE@gmail.com,,$2y$10$pqPMZRrpSN4n95e8Nz.q3O1DXhariu.0GmLoJZ8fl6pm/1NkFSzXe,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
32,ZAID,BARBA,QUEVEDO,17024763,'2017-08-02',74125926,M,AV. BENI 123,ZAIDBARBAQUEVEDO@gmail.com,,$2y$10$lx.7oqSSXOiDcWkFDBn98OwwGDY3/rCl0wdEfIi952GTUGxPrlfiu,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
33,RIHANNA,CABALLERO,JIMENEZ,17049148,'2017-07-09',74125927,F,CALLE AYACUCHO 456,RIHANNACABALLEROJIMENEZ@gmail.com,,$2y$10$GmFrwqhX/G6sm3cPoZI5RuyU2Tq3VwnSVFbcXjhUGBTua59VZkImO,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
34,JHERLY,CALISAYA,JUSTINIANO,16291156,'2018-06-28',74125928,F,AV. BANZER 789,JHERLYCALISAYAJUSTINIANO@gmail.com,,$2y$10$aI69iaNNlt9YnbX4qGBHieRl474rmnWUPZD./TMmT3GosMhZax7qy,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
35,AARON,CESPEDES,COLQUE,15195615,'2018-02-28',74125929,M,CALLE FLORIDA 101,AARONCESPEDESCOLQUE@gmail.com,,$2y$10$RG54o2wyLzJlbBBNQBqGku.4ygy1/5LxIwX91rlsrklK/LqCS3QRC,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
36,NATIVIDAD,CHOQUE,CRESPO,17331896,'2018-05-16',74125930,F,AV. TRES PASOS AL FRENTE 202,NATIVIDADCHOQUECRESPO@gmail.com,,$2y$10$UI.IfifCwF.0Vc.qWKxVg.gXwD5kYw7puGOygjzLeQWbQN/B3I6gW,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
37,CLAUDIO,CLAURE,PEÑA,16922150,'2017-07-08',74125931,M,CALLE ESPAÑA 303,CLAUDIOCLAUREPEÑA@gmail.com,,$2y$10$enlq4b2rEEoHC4lQtoWid.aiZmrWfdaOVim.QA079NZqyn5ESkwS2,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
38,ANDRES,COLQUE,CHAVEZ,15573845,'2018-04-23',74125932,M,AV. MUTUALISTA 404,ANDRESCOLQUECHAVEZ@gmail.com,,$2y$10$DM3egEh.u6hS8WdbyPux3euEiD3VIUPhyjFfiX/hk8Gm5g3u3I7yK,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
39,MAILY,DELGADILLO,MALDONADO,15341039,'2017-07-23',74125933,F,CALLE SUCRE 505,MAILYDELGADILLOMALDONADO@gmail.com,,$2y$10$3n9W8tTqjqb4fVRnDDSmieKirPsrcNmvrJJrLgMNwpxjZ/g0BPq/W,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
40,MARTHA,FLORES,SURUVI,15064021,'2017-09-25',74125934,F,AV. ALEMANA 606,MARTHAFLORESSURUVI@gmail.com,,$2y$10$S4R8hZUjlwHt1vFvqPmcK.M9kPM1SZoFQlYaPr0d56x6/hojawgcK,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
41,ANTHONY,FRANCO,FLORES,15146713,'2018-01-06',74125935,M,CALLE INDEPENDENCIA 707,ANTHONYFRANCOFLORES@gmail.com,,$2y$10$BM27SDgMvmX/0elsQcWyC.vTMjLeBj0WMbXkyKv0ZRsZAPVI416M2,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
42,IAN,GALEAN,MENDOZA,15098017,'2017-10-23',74125936,M,AV. CENTENARIO 808,IANGALEANMENDOZA@gmail.com,,$2y$10$IvHDCekfm86UvPMvzzETg.VjcaMxUZXWNDoUKfGcNgLdzE7.7.GvK,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
43,RONALD,GUZMAN,TORREZ,16949842,'2017-07-21',74125937,M,CALLE 24 DE SEPTIEMBRE 909,RONALDGUZMANTORREZ@gmail.com,,$2y$10$LMCFKz8Ag/E7Hz..1KwJy.l3ucQTmA9eNVuhpclKlv2LclgWKkpYe,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
44,GAEL,HENRIQUEZ,BAURA,15542030,'2018-03-01',74125938,M,AV. CRISTO REDENTOR 111,GAELHENRIQUEZBAURA@gmail.com,,$2y$10$HyQFNCKj7I2pZERI6xiKM.EDwbqZAS.NLRaZBipdJK9zhiNGPRNAa,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
45,ANDREW,HUARI,DALENCE,15115771,'2017-11-28',74125939,M,CALLE LIBERTAD 222,ANDREWHUARIDALENCE@gmail.com,,$2y$10$mT4O59jslJkfoor4h9ZbReowGAo.B1EdDqntUNky833wgtYusSom.,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
46,BENJAMIN,IBAÑEZ,PADILLA,15209689,'2017-08-02',74125940,M,AV. SANTOS DUMONT 333,BENJAMINIBAÑEZPADILLA@gmail.com,,$2y$10$kvPqG3fTGcR7py5DvwO5ruL6ATP9.TICXQ3nadNBRHZf0m6hZgD1q,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
47,ANDREA,JATTACO,OVANDO,15801241,'2018-06-01',74125941,F,CALLE BOLÍVAR 444,ANDREAJATTACOOVANDO@gmail.com,,$2y$10$MGWHV6HlZt703SrnbZ5ypO1D8k/fwExIZPW2AMJCz80XSn1dFh4te,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
48,IAN,LOZA,HERRERA,15268595,'2017-12-06',74125942,M,AV. ROCA Y CORONADO 555,IANLOZAHERRERA@gmail.com,,$2y$10$pIENYhRmNy8rnad5slvIuOSWbGZ4tywgrcwQQpRRczxqjsddpBrFi,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
49,JULIAN,MARCOS,PARDO,17356856,'2017-10-31',74125943,M,CALLE COCHABAMBA 666,JULIANMARCOSPARDO@gmail.com,,$2y$10$fcIO.A2TEK0wM5UyANxnyuGjW8aCEJXH4fZdkHZGhDfeFZkzJYSSi,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
50,MARILEN,MENESES,CALA,16033057,'2017-09-28',74125944,F,AV. SAN MARTÍN 777,MARILENMENESESCALA@gmail.com,,$2y$10$9oMdxuir/8quAnKnWvzPuOtD6xb0bm/vJnmypKUYweFY.62zVY4yK,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
51,HELEN,MIRANDA,ABREGO,15278072,'2018-05-21',74125945,F,CALLE POTOSÍ 888,HELENMIRANDAABREGO@gmail.com,,$2y$10$zP9b/NrloTwvEtMbXhAgLuzKJXj3QpFa6NDccDO9k0G0IkAc6gSxi,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
52,MARIA,MONTERO,PEÑA,16417053,'2017-08-15',74125946,F,AV. IRALA 999,MARIAMONTEROPEÑA@gmail.com,,$2y$10$eeuaPgLbfc45T3LZyvuaBOa.oawwS6igi19Vie3KgRJ2pn6wkRQcC,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
53,LIAM,MUÑOZ,ARISPE,16877928,'2017-08-18',74125947,M,CALLE CAMACHO 121,LIAMMUÑOZARISPE@gmail.com,,$2y$10$z4WbklRNoNteKAiZpObxD./uvRIsAsBIUXMbl5mf6nARCJCyeTVCq,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
54,AARON,PACHURI,VICENTE,16877929,'2017-11-27',74125948,M,AV. PARAGUÁ 232,AARONPACHURIVICENTE@gmail.com,,$2y$10$t9garnVTllRd4JpEsJLHmuIEcUqzXzZCvHyNdmeBz5Zcgef20JYo6,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
55,GENESIS,PANIAGUA,ARIAS,15417962,'2017-08-01',74125949,F,CALLE COLÓN 343,GENESISPANIAGUAARIAS@gmail.com,,$2y$10$wXHfWbX6gPlfGDlMjMAaRe8xCA7w5drqAFGc2PKTIZttPca44GPRq,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
56,NASHELY,PARABA,QUEVEDO,15286131,'2018-05-30',74125950,F,AV. MOSCÚ 454,NASHELYPARABAQUEVEDO@gmail.com,,$2y$10$6KJzDG0.B9GOhs2OgbAtm.QqEvYGjl0rN.q4DMCQFPLNI2q7.Y4QO,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
57,MARYAM,PEREZ,NINA,15309227,'2018-03-12',74125951,F,CALLE WARNES 565,MARYAMPEREZNINA@gmail.com,,$2y$10$LHE87ENWuMipdRmE1ZB99.jaw7sx4LBngjD1zlYwqNg9eM0k/CwbK,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
58,ANTONELA,SIBRON,CUELLAR,15259541,'2018-05-02',74125952,F,AV. LA SALLE 676,ANTONELASIBRONCUELLAR@gmail.com,,$2y$10$9hEia18Axy7NfavyRWVvTOuOw6wW7PTRxq6JaxBC018w.fce1ysae,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
59,MATHIAS,SOSA,BARRIGA,16299563,'2017-12-20',74125953,M,CALLE JUNÍN 787,MATHIASSOSABARRIGA@gmail.com,,$2y$10$6JQz6NmhtlbCizykVAnbBuUdlI9FTC7H3RpTYgnlQctY5lFcTFR82,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
60,ARIANA,VARGAS,ROJAS,16788462,'2017-07-26',74125954,F,AV. GRIGOTÁ 898,ARIANAVARGASROJAS@gmail.com,,$2y$10$jWT4b3UcJNjVRy0LSApWa.SUezPCnznYJoddPPW9dp5ILtzjb0iTe,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
61,SHEYLA,VILTE,CORDOVA,15521652,'2017-05-05',74125955,F,CALLE MERCADO 909,SHEYLAVILTECORDOVA@gmail.com,,$2y$10$.tVM1R0xKsiBlt1bthVZTufMpfuXHZRTWYCnzRsGh/m7PHkGnKrK6,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
62,RAPHAELA,ALBA,TAMBO,15202998,'2017-12-05',74125956,F,AV. CAÑOTO 101,RAPHAELAALBATAMBO@gmail.com,,$2y$10$C1gln.lI.DMzq1YXmiSLDOWCxH8BEoWmgECxSyuLS8l/WZtb6AscS,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
63,SEBASTIAN,ARTEAGA,BARRIGA,17076157,'2016-11-13',74125957,M,CALLE ÑUFLO DE CHÁVEZ 202,SEBASTIANARTEAGABARRIGA@gmail.com,,$2y$10$GQ7WPoCdX0nNWOwj4ZU.feG99h2ZUAehYFOb9zRzA/S9MianrqEui,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
64,MOISES,BLANCO,MAMANI,17328209,'2018-02-04',74125958,M,AV. 12 DE JULIO 111,MOISESBLANCOMAMANI@gmail.com,,$2y$10$SRIb4PNLj8zb9etnVVHA2ebH2j.ObB823wggLd3uJs/PkxHiVxoYy,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
65,ANDREW,CACERES,CACERES,16778495,'2017-09-19',74125959,M,AV. SEXTO ANILLO 666,ANDREWCACERESCACERES@gmail.com,,$2y$10$dtueVkSuqB3F5Q7/qG7lzeU/QfC3IK7Hh6jwuGqmRD09oGkG.KdBu,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
66,LUCIANA,CASTEDO,VILLARROEL,16616857,'2018-02-23',74125960,F,AV. VIRGEN DE COTOCA 505,LUCIANACASTEDOVILLARROEL@gmail.com,,$2y$10$BySAJFOi7uVFF0aSwp6Enu87fx0jrUYYfxD6TRW7Hqu3E0.j6HGJe,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
67,SHEYLA,COLQUE,ROJAS,17131389,'2017-07-23',74125961,F,CALLE BALLIVIÁN 606,SHEYLACOLQUEROJAS@gmail.com,,$2y$10$DnLm5wyCAVT2ykK8UKyHu.hZewo4dBURY8gbvkX8Okf5Uryb72bNi,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
68,ELEAZAR,CORI,MONTAÑO,15242633,'2017-12-08',74125962,M,AV. SEGUNDA ANILLO 707,ELEAZARCORIMONTAÑO@gmail.com,,$2y$10$OKJr.bQiOlItWm0eoqGndOP30BBUK.TPjRPOIFtHZgpbMvrgC.4IG,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
69,ARIEL,DURAN,ANTELO,16949113,'2018-03-04',74125963,M,CALLE GUARAYOS 808,ARIELDURANANTELO@gmail.com,,$2y$10$NjxWfZDKRTUSHlyuyqgJ3eArNdmzBUIQbkq6qWvdqix.mnLgJgqQa,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
70,YUAN,ESPINOZA,PALACIOS,15308962,'2018-06-22',74125964,M,AV. TERCER ANILLO 909,YUANESPINOZAPALACIOS@gmail.com,,$2y$10$cK/2H8fWD04wF2IPEbafo.9wuAzpt84RXJP6lUBpuiaPZB5BVNSBm,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
71,KIARA,FLORES,PADILLA,15308963,'2018-05-20',74125965,F,CALLE MAN CÉSPED 111,KIARAFLORESPADILLA@gmail.com,,$2y$10$bayskeZcDQtrBQaFcty/c.4esbuKIZUECVF6JYKDGQNGGfQ/quX.K,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
72,ELIAS,FLORES,PARADA,15005325,'2017-04-21',74125966,M,AV. CUARTO ANILLO 222,ELIASFLORESPARADA@gmail.com,,$2y$10$oxfX/XcZujfd9JrvvSFtk.5C5oUAywZggzRRk9IQHHhlqeOl/0IDq,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
73,GAEL,FLORES,LEON,15271157,'2018-05-14',74125967,M,CALLE PARI 333,GAELFLORESLEON@gmail.com,,$2y$10$Fxxy97cghGUgoKot9oJ2a.VzsfDybYUufq4daWdor65HUMeQAvM96,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
74,JOSE,IBAÑEZ,SALCES,16901823,'2016-04-10',74125968,M,AV. QUINTO ANILLO 444,JOSEIBAÑEZSALCES@gmail.com,,$2y$10$kUw80x4gh2..xBSQLdzVWuFD7lobAMSdjvBdJbAgFYg04B4i22AeC,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
75,TIFFANY,IBAÑEZ,SALCES,16901830,'2013-12-18',74125969,F,CALLE LEMOINE 555,TIFFANYIBAÑEZSALCES@gmail.com,,$2y$10$Jf2E.brpHuYg1BB8DzkZD.1spmkbIWiAwG0qIqLl0I6r.US2Q4hGe,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
76,MARLID,JUSTINIANO,JUSTINIANO,17186075,'2018-06-05',74125970,F,AV. SEXTO ANILLO 666,MARLIDJUSTINIANOJUSTINIANO@gmail.com,,$2y$10$6W7t1yp1ZSC.tTRpuRV/KOUwNE/vDBO8eXjCurW4VsOy1C2uCUVai,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
77,CARLOS,JUSTINIANO,JUSTINIANO,17047901,'2017-01-15',74125971,M,CALLE AROMA 777,CARLOSJUSTINIANOJUSTINIANO@gmail.com,,$2y$10$XPN7uES/1yNKXBKceQItWeHxKEE8YWleLieISK40CCYEX1S/bBt9G,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
78,LOANA,JUSTINIANO,GARCIA,16990399,'2017-06-30',74125972,F,AV. SÉPTIMO ANILLO 888,LOANAJUSTINIANOGARCIA@gmail.com,,$2y$10$jNXoYtxFt5GNVCmxpN.kIutsa6/XarKKVEvb8KHcu7snfWVLAo5VO,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
79,EMILY,MOSTAJO,MONTAÑO,15295748,'2018-06-09',74125973,F,CALLE BENI 999,EMILYMOSTAJOMONTAÑO@gmail.com,,$2y$10$JLQSbvLqEeuz4QH8cF50quWUa2GKXUAr7iDgb4Bqm8E5p/7DlhXc6,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
80,LIAM,ORTIZ,TAPIA,15203876,'2018-03-11',74125974,M,AV. OCTAVO ANILLO 121,LIAMORTIZTAPIA@gmail.com,,$2y$10$BbJ3SZy6tWfjAjb0YrKVa.bzi92kyQw2L0r2z2WudjEUf3uEvxSz6,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
81,SUSANA,QUISPE,GUZMAN,17352609,'2016-01-04',74125975,F,CALLE SUÁREZ ARANA 232,SUSANAQUISPEGUZMAN@gmail.com,,$2y$10$VHwgbkoA4C4mPmVINI9gceyX9JRMgqpp4wDHZf/S/uUj.N2gcjpyu,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
82,ZOE,RIVERO,IBARRA,17055778,'2018-06-06',74125976,M,AV. NOVENO ANILLO 343,ZOERIVEROIBARRA@gmail.com,,$2y$10$SVeowW2z02.wAB4vhpFEH.egmYWNR2tgpbOwf44rb1lm8/Vgc9vuy,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
83,SAMARA,RODRIGUEZ,BUSTAMANTE,16238587,'2018-04-28',74125977,F,CALLE LIBERTAD 454,SAMARARODRIGUEZBUSTAMANTE@gmail.com,,$2y$10$Ni0vSqgoaZgL.mgbIkCnJuMOoDapaQr4PAK/ou1B0h8DC89PrkykG,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
84,MIGUEL,ROMERO,VACA,15146998,'2018-01-04',74125978,M,AV. DÉCIMO ANILLO 565,MIGUELROMEROVACA@gmail.com,,$2y$10$748kBMlTZv2hESzHtngpiO0sZzAEDPOjcqCdcQUHIXWn/Kb9UjNCO,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
